name,brand,model,url,score,price_min,price_max,sentiment_score,sentiment_label,sentiment_confidence,keywords_performance_count,keywords_performance,keywords_playstyle_count,keywords_playstyle,keywords_comfort_count,keywords_comfort,keywords_durability_count,keywords_durability,keywords_technologies_count,keywords_technologies,keywords_features_count,keywords_features,keywords_court_type_count,keywords_court_type,keywords_materials_count,keywords_materials
Jordan Luka 3,Jordan,Luka 3,https://runrepeat.com/jordan-luka-3,89,120,140,10.0,positive,0.08,3.0,"traction, support, lockdown",,,,,,,,,,,,,,
Nike Precision 7,Nike,Precision 7,https://runrepeat.com/nike-precision-7,81,80,150,6.71,neutral,0.34,2.0,"support, stability",1.0,quick,,,1.0,wear,,,,,,,,
Reebok Question Mid,Reebok,Question Mid,https://runrepeat.com/reebok-question-mid,90,125,170,10.0,positive,0.3,2.0,"grip, support",,,,,1.0,wear,,,,,,,,
Nike LeBron Witness 8,Nike,LeBron Witness 8,https://runrepeat.com/nike-lebron-witness-8,83,90,135,6.57,neutral,0.31,3.0,"traction, cushioning, support",,,2.0,"comfortable, padding",1.0,wear,1.0,air,1.0,air max,,,,
Nike Giannis Immortality 4,Nike,Giannis Immortality 4,https://runrepeat.com/nike-giannis-immortality-4,84,85,140,10.0,positive,0.34,3.0,"support, stability, impact protection",3.0,"center, quick, jumping",1.0,wide,,,,,,,,,,
Adidas Harden Vol. 8,Adidas,Harden Vol. 8,https://runrepeat.com/adidas-harden-volume-8,90,135,160,10.0,positive,0.45,2.0,"support, bounce",1.0,quick,1.0,comfortable,2.0,"durable, wear",2.0,"foam, boost",1.0,boost,,,,
Nike Lebron NXXT GEN,Nike,Lebron NXXT GEN,https://runrepeat.com/nike-lebron-nxxt-gen,87,110,200,6.91,neutral,0.38,1.0,impact protection,,,,,,,,,,,,,,
Nike Sabrina 1,Nike,Sabrina 1,https://runrepeat.com/nike-sabrina-1,86,125,150,6.76,neutral,0.35,2.0,"cushioning, support",5.0,"guard, forward, quick, explosive, speed",1.0,wide,1.0,wear,,,,,,,,
Nike LeBron 21,Nike,LeBron 21,https://runrepeat.com/nike-lebron-21,86,130,210,10.0,positive,0.14,2.0,"cushioning, bounce",,,1.0,break-in,1.0,durable,2.0,"air, zoom",1.0,zoom air,,,,
Nike G.T. Hustle 3,Nike,G.T. Hustle 3,https://runrepeat.com/nike-gt-hustle-3,83,120,190,6.79,neutral,0.36,2.0,"traction, bounce",,,3.0,"comfortable, snug, breathable",1.0,wear,2.0,"air, zoom",1.0,zoom air,,,,
Nike Ja 1,Nike,Ja 1,https://runrepeat.com/nike-ja-1,89,110,150,10.0,positive,0.39,2.0,"energy return, impact protection",1.0,guard,1.0,comfortable,,,,,,,,,,
Nike Giannis Freak 6,Nike,Giannis Freak 6,https://runrepeat.com/nike-giannis-freak-6,84,85,150,6.67,neutral,0.34,1.0,support,,,,,,,2.0,"air, zoom",1.0,zoom air,,,,
Adidas Dame 8,Adidas,Dame 8,https://runrepeat.com/adidas-dame-8,89,120,135,5.0,neutral,0.35,3.0,"traction, support, court feel",,,,,,,,,,,,,,
Adidas Harden Vol. 7,Adidas,Harden Vol. 7,https://runrepeat.com/adidas-harden-vol-7,91,125,170,7.06,positive,0.41,2.0,"traction, energy return",1.0,guard,,,,,,,,,,,,
Adidas Trae Young 3,Adidas,Trae Young 3,https://runrepeat.com/adidas-trae-young-3,89,95,140,10.0,positive,0.14,1.0,stability,3.0,"guard, quick, agile",,,1.0,wear,,,,,,,,
Nike Lebron 20,Nike,Lebron 20,https://runrepeat.com/nike-lebron-20,94,135,200,5.0,neutral,0.0,1.0,impact protection,,,,,,,,,,,,,,
Nike G.T. Hustle 2,Nike,G.T. Hustle 2,https://runrepeat.com/nike-gt-hustle-2,86,135,200,6.83,neutral,0.37,,,,,,,,,,,,,,,,
Nike KD 16,Nike,KD 16,https://runrepeat.com/nike-kd-16,86,135,190,7.07,positive,0.41,1.0,support,,,1.0,comfortable,,,1.0,boost,1.0,boost,1.0,street,,
Nike Lebron Witness 7,Nike,Lebron Witness 7,https://runrepeat.com/nike-lebron-witness-7,88,105,190,5.0,neutral,0.0,2.0,"traction, cushioning",,,,,,,,,,,1.0,outdoor,,
Adidas D.O.N. Issue #5,Adidas,D.O.N. Issue #5,https://runrepeat.com/adidas-don-issue-5,90,100,135,10.0,positive,0.19,2.0,"traction, support",1.0,quick,1.0,arch support,3.0,"durable, wear, outsole",,,,,2.0,"indoor, outdoor",,
Jordan Luka 2,Jordan,Luka 2,https://runrepeat.com/jordan-luka-2,87,130,140,6.88,neutral,0.38,1.0,stability,,,,,,,,,,,1.0,indoor,,
Nike Cosmic Unity 3,Nike,Cosmic Unity 3,https://runrepeat.com/nike-cosmic-unity-3,82,120,190,10.0,positive,0.22,1.0,stability,,,,,,,,,,,1.0,outdoor,,
Nike Giannis Immortality 3,Nike,Giannis Immortality 3,https://runrepeat.com/nike-giannis-immortality-3,84,80,140,7.5,positive,0.29,,,2.0,"quick, lateral movement",1.0,wide,2.0,"wear, outsole",1.0,foam,,,,,,
Jordan Tatum 2,Jordan,Tatum 2,https://runrepeat.com/jordan-tatum-2,88,100,190,5.0,neutral,0.0,4.0,"traction, cushioning, lockdown, court feel",,,,,1.0,outsole,1.0,air,,,,,,
Under Armour Lockdown 6,Under Armour,Lockdown 6,https://runrepeat.com/under-armour-lockdown-6,88,70,135,7.0,positive,0.4,1.0,lockdown,,,,,1.0,wear,,,,,,,,
Adidas D.O.N. Issue #4,Adidas,D.O.N. Issue #4,https://runrepeat.com/adidas-d-o-n-issue-4,88,95,135,6.58,neutral,0.32,3.0,"support, court feel, energy return",1.0,quick,,,,,,,,,,,,
Reebok Shaq Attaq,Reebok,Shaq Attaq,https://runrepeat.com/reebok-shaq-attaq,88,130,170,10.0,positive,0.15,,,1.0,center,1.0,comfortable,,,,,,,,,,
Adidas Harden Stepback 3,Adidas,Harden Stepback 3,https://runrepeat.com/adidas-harden-stepback-3,88,95,135,6.57,neutral,0.31,,,,,,,,,,,,,,,,
PUMA Court Rider,PUMA,Court Rider,https://runrepeat.com/puma-court-rider,86,95,135,6.56,neutral,0.31,2.0,"responsiveness, court feel",2.0,"guard, agile",,,,,,,,,,,,
Nike Zoom Freak 4,Nike,Zoom Freak 4,https://runrepeat.com/nike-zoom-freak-4,88,90,150,10.0,positive,0.24,,,,,,,,,1.0,zoom,,,,,,
Jordan Tatum 1,Jordan,Tatum 1,https://runrepeat.com/jordan-tatum-1,83,70,135,8.0,positive,0.45,2.0,"grip, support",1.0,guard,,,,,2.0,"air, zoom",1.0,zoom air,,,,
Air Jordan XXXVIII,Jordan,Air Jordan XXXVIII,https://runrepeat.com/air-jordan-xxxviii,87,130,200,6.54,neutral,0.31,2.0,"support, stability",,,,,,,1.0,air,,,,,,
Adidas Trae Young 2,Adidas,Trae Young 2,https://runrepeat.com/adidas-trae-young-2,80,95,160,6.58,neutral,0.32,,,,,,,,,,,,,,,,
Adidas Dame Certified,Adidas,Dame Certified,https://runrepeat.com/adidas-dame-certified,85,85,140,6.67,neutral,0.33,1.0,support,1.0,guard,2.0,"comfortable, heel slip",1.0,durable,,,1.0,boost,1.0,outdoor,,
New Balance TWO WXY V4,New Balance,TWO WXY V4,https://runrepeat.com/new-balance-two-wxy-v4,83,120,170,5.0,neutral,0.0,,,,,,,,,,,,,,,,
PUMA Rise Nitro,PUMA,Rise Nitro,https://runrepeat.com/puma-rise-nitro,83,125,170,10.0,positive,0.28,2.0,"cushioning, support",,,,,1.0,wear,,,,,,,,
Nike Cosmic Unity 2,Nike,Cosmic Unity 2,https://runrepeat.com/nike-cosmic-unity-2,85,135,170,6.93,neutral,0.39,,,,,,,,,,,,,,,,
Jordan Zion 3,Jordan,Zion 3,https://runrepeat.com/jordan-zion-3,68,135,200,5.0,neutral,0.28,3.0,"support, lockdown, bounce",1.0,quick,4.0,"comfortable, wide, snug, padding",1.0,durable,2.0,"air, zoom",1.0,zoom air,,,,
Nike Air Max Impact 4,Nike,Air Max Impact 4,https://runrepeat.com/nike-air-max-impact-4,83,80,150,7.95,positive,0.59,3.0,"traction, cushioning, support",,,,,,,1.0,air,1.0,air max,,,,
Nike Air Zoom G.T. Cut 2,Nike,Air Zoom G.T. Cut 2,https://runrepeat.com/nike-air-zoom-g-t-cut-2,84,130,190,0.0,negative,0.17,2.0,"cushioning, support",,,,,,,2.0,"air, zoom",,,,,,
Nike KD 15,Nike,KD 15,https://runrepeat.com/nike-kd-15,92,135,160,0.0,negative,0.1,1.0,grip,,,,,,,,,,,,,,
Reebok Answer IV,Reebok,Answer IV,https://runrepeat.com/reebok-answer-iv,88,130,170,7.5,positive,0.45,2.0,"cushioning, support",,,,,1.0,durable,,,1.0,leather,,,1.0,leather
Nike Precision 6,Nike,Precision 6,https://runrepeat.com/nike-precision-6,84,75,160,10.0,positive,0.29,,,,,1.0,comfortable,,,,,,,,,,
Reebok Answer DMX,Reebok,Answer DMX,https://runrepeat.com/reebok-answer-dmx,90,130,170,6.88,neutral,0.38,1.0,impact protection,,,,,,,1.0,air,,,,,,
